,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
88,1633611135024,-0.23413086,-0.73394775,0.7560425,1.0625,-0.25,0.890625,Respeck,Sitting bent backward,5,s1714206,
89,1633611135094,-0.23608398,-0.73028564,0.7514038,0.65625,-0.078125,0.859375,Respeck,Sitting bent backward,5,s1714206,
90,1633611135106,-0.2331543,-0.72979736,0.7514038,0.453125,-0.125,0.65625,Respeck,Sitting bent backward,5,s1714206,
91,1633611135138,-0.234375,-0.7420044,0.72869873,1.171875,-1.421875,1.109375,Respeck,Sitting bent backward,5,s1714206,
92,1633611135214,-0.23095703,-0.73272705,0.76312256,0.90625,0.421875,0.671875,Respeck,Sitting bent backward,5,s1714206,
93,1633611135228,-0.23413086,-0.7371216,0.7523804,0.609375,-0.453125,0.5625,Respeck,Sitting bent backward,5,s1714206,
94,1633611135257,-0.24658203,-0.74298096,0.74823,-1.59375,0.25,0.5,Respeck,Sitting bent backward,5,s1714206,
95,1633611135334,-0.22729492,-0.71539307,0.7658081,0.828125,-0.515625,0.140625,Respeck,Sitting bent backward,5,s1714206,
96,1633611135339,-0.24023438,-0.7366333,0.7575073,0.328125,0.4375,0.328125,Respeck,Sitting bent backward,5,s1714206,
97,1633611135409,-0.22875977,-0.72125244,0.7536011,0.875,0.296875,0.546875,Respeck,Sitting bent backward,5,s1714206,
98,1633611135421,-0.23730469,-0.73272705,0.76190186,0.125,1.0625,0.5,Respeck,Sitting bent backward,5,s1714206,
99,1633611135455,-0.23022461,-0.7346802,0.7526245,-1.015625,1.296875,0.53125,Respeck,Sitting bent backward,5,s1714206,
100,1633611135529,-0.23120117,-0.73638916,0.7538452,-0.046875,0.828125,0.375,Respeck,Sitting bent backward,5,s1714206,
101,1633611135534,-0.22973633,-0.73638916,0.7538452,0.328125,0.0625,0.421875,Respeck,Sitting bent backward,5,s1714206,
102,1633611135604,-0.22802734,-0.73638916,0.76239014,-1.109375,0.875,0.1875,Respeck,Sitting bent backward,5,s1714206,
103,1633611135680,-0.23339844,-0.72613525,0.7572632,-0.640625,0.15625,0.34375,Respeck,Sitting bent backward,5,s1714206,
104,1633611135683,-0.23242188,-0.72320557,0.7575073,-0.90625,0.109375,0.328125,Respeck,Sitting bent backward,5,s1714206,
105,1633611135691,-0.23388672,-0.72247314,0.7719116,0.15625,-0.21875,0.140625,Respeck,Sitting bent backward,5,s1714206,
106,1633611135723,-0.22631836,-0.7227173,0.7496948,-0.3125,-0.796875,0.4375,Respeck,Sitting bent backward,5,s1714206,
107,1633611135798,-0.22265625,-0.7324829,0.789978,0.75,1.453125,-0.28125,Respeck,Sitting bent backward,5,s1714206,
108,1633611135812,-0.23339844,-0.73883057,0.7411499,-1.53125,0.71875,0.3125,Respeck,Sitting bent backward,5,s1714206,
109,1633611135841,-0.23461914,-0.7329712,0.7597046,-1.4375,0.859375,-0.21875,Respeck,Sitting bent backward,5,s1714206,
110,1633611135918,-0.22631836,-0.72369385,0.77093506,-1.234375,0.46875,0.171875,Respeck,Sitting bent backward,5,s1714206,
111,1633611135921,-0.23095703,-0.7192993,0.75946045,-1.34375,1.453125,0.1875,Respeck,Sitting bent backward,5,s1714206,
112,1633611135992,-0.22851562,-0.7197876,0.7628784,-0.234375,0.46875,0.484375,Respeck,Sitting bent backward,5,s1714206,
113,1633611136007,-0.22851562,-0.73394775,0.7831421,-0.75,1.09375,-0.125,Respeck,Sitting bent backward,5,s1714206,
114,1633611136037,-0.23632812,-0.71832275,0.7682495,-0.875,1.25,0.21875,Respeck,Sitting bent backward,5,s1714206,
115,1633611136115,-0.23291016,-0.71099854,0.76776123,0.09375,0.671875,0.328125,Respeck,Sitting bent backward,5,s1714206,
116,1633611136120,-0.2253418,-0.7163696,0.7633667,0.46875,-0.4375,0.28125,Respeck,Sitting bent backward,5,s1714206,
117,1633611136190,-0.22631836,-0.71881104,0.7653198,0.3125,-0.46875,0.390625,Respeck,Sitting bent backward,5,s1714206,
118,1633611136201,-0.23242188,-0.7197876,0.7626343,0.0,-0.484375,0.484375,Respeck,Sitting bent backward,5,s1714206,
119,1633611136232,-0.23168945,-0.71539307,0.7633667,0.140625,-0.609375,0.421875,Respeck,Sitting bent backward,5,s1714206,
120,1633611136308,-0.2319336,-0.7217407,0.73187256,0.859375,-1.9375,0.734375,Respeck,Sitting bent backward,5,s1714206,
121,1633611136312,-0.23535156,-0.72003174,0.7662964,1.703125,-0.65625,0.453125,Respeck,Sitting bent backward,5,s1714206,
122,1633611136383,-0.23022461,-0.71466064,0.7489624,0.1875,-0.359375,0.421875,Respeck,Sitting bent backward,5,s1714206,
123,1633611136398,-0.24243164,-0.7263794,0.7460327,0.4375,-0.546875,0.28125,Respeck,Sitting bent backward,5,s1714206,
124,1633611136427,-0.23242188,-0.72076416,0.7741089,0.46875,-1.453125,0.359375,Respeck,Sitting bent backward,5,s1714206,
125,1633611136504,-0.23901367,-0.72003174,0.7560425,-0.203125,-0.25,0.84375,Respeck,Sitting bent backward,5,s1714206,
126,1633611136507,-0.24047852,-0.71759033,0.76116943,0.828125,-0.109375,0.921875,Respeck,Sitting bent backward,5,s1714206,
127,1633611136578,-0.23144531,-0.7283325,0.7748413,1.296875,0.15625,0.484375,Respeck,Sitting bent backward,5,s1714206,
